Start station number,Start station,End station number,End station,Bike model,Date,total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
1095,"LSBU (Borough Road), Elephant & Castle",1202,"Wellington Street , Strand",CLASSIC,2023-08-05 14:00:00,2.1972245773362196,3.096837,,0.56565654,0.68218446,0.4245497,0.6169137,5,6,14,1,Afternoon,Saturday,Weekend
1134,"Warwick Road, Olympia",200173,"Courland Grove, Wandsworth Road",CLASSIC,2023-08-21 18:00:00,3.58351893845611,14.512064,,0.72727275,0.71236575,0.47093993,0.38399613,21,1,18,0,Evening,Monday,Weekday
1011,"Argyle Street, Kings Cross",1058,"Edgware Road Station, Marylebone",CLASSIC,2023-08-10 12:00:00,2.8903717578961645,16.62249,,0.9393939,0.9171667,0.34527296,0.31755137,10,4,12,0,Afternoon,Thursday,Weekday
200069,"Knaresborough Place, Earl's Court",200237,"Parson's Green , Parson's Green",CLASSIC,2023-08-20 14:00:00,2.639057329615259,15.778516,,0.92592585,0.8680289,0.5117896,0.14654166,20,7,14,1,Afternoon,Sunday,Weekend
1053,"Clerkenwell Green, Clerkenwell",200025,"London Fields, Hackney Central",CLASSIC,2023-08-29 17:00:00,2.833213344056216,17.388409,,0.59595954,0.50423515,0.5458378,0.22454911,29,2,17,0,Evening,Tuesday,Weekday
1007,"Drury Lane, Covent Garden",300253,"Bermondsey Station, Bermondsey",CLASSIC,2023-08-06 22:00:00,3.332204510175204,8.905908,,0.1885522,0.23606572,0.7281316,0.71621513,6,7,22,1,Night,Sunday,Weekend
200037,"Rectory Square, Stepney",200251,"Bow Road Station, Bow",CLASSIC,2023-08-21 08:00:00,2.1972245773362196,12.096214,,0.42760932,0.49411294,0.5040291,0.8180672,21,1,8,0,Morning,Monday,Weekday
200050,"Naval Row, Blackwall",200160,"Langdon Park, Poplar",CLASSIC,2023-08-21 23:00:00,2.1972245773362196,11.753876,,0.3602693,0.43101832,0.48851174,0.87412035,21,1,23,0,Night,Monday,Weekday
200192,"Fawcett Close, Battersea",300086,"Fulham Broadway, Walham Green",CLASSIC,2023-08-21 17:00:00,2.772588722239781,16.418526,,0.8181819,0.76394546,0.49806327,0.2623998,21,1,17,0,Evening,Monday,Weekday
1194,"Westminster University, Marylebone",980,"Malet Street, Bloomsbury",CLASSIC,2023-08-03 11:00:00,2.9444389791664403,16.279802,,0.64309764,0.56861246,0.9092559,0.20802802,3,4,11,0,Morning,Thursday,Weekday
200167,"Twig Folly Bridge, Mile End",200025,"London Fields, Hackney Central",PBSC_EBIKE,2023-08-30 17:00:00,2.4849066497880004,19.486609,,0.57912457,0.43977937,0.77736384,0.101291716,30,3,17,0,Evening,Wednesday,Weekday
1043,"Museum of London, Barbican",1043,"Museum of London, Barbican",CLASSIC,2023-08-21 12:00:00,3.8918202981106265,14.904173,,0.8821548,0.80475533,0.501291,0.12286097,21,1,12,0,Afternoon,Monday,Weekday
200029,"Finlay Street, Fulham",300086,"Fulham Broadway, Walham Green",CLASSIC,2023-08-10 18:00:00,2.0794415416798357,13.627795,,0.8686869,0.8712801,0.3211199,0.35201764,10,4,18,0,Evening,Thursday,Weekday
1012,"Christopher Street, Liverpool Street",984,"Finsbury Circus, Liverpool Street",PBSC_EBIKE,2023-08-11 08:00:00,1.3862943611198906,20.570463,,0.67340064,0.67994916,0.5203087,0.68428445,11,5,8,0,Morning,Friday,Weekday
1068,"Norton Folgate, Liverpool Street",1151,"Whitehall Place, Strand",CLASSIC,2023-08-01 19:00:00,2.833213344056216,12.10157,,0.5690236,0.5973499,0.4016865,0.5558202,1,2,19,0,Evening,Tuesday,Weekday
981,"British Museum, Bloomsbury",2667,"Tower Wharf, Bermondsey",CLASSIC,2023-08-19 16:00:00,3.58351893845611,25.199997,,0.7912457,0.69029176,0.43045402,0.3619187,19,6,16,1,Afternoon,Saturday,Weekend
1071,"Tower Gardens , Tower",300249,"Westminster Pier, Westminster",CLASSIC,2023-08-12 10:00:00,2.9444389791664403,29.01966,,0.72053874,0.56633043,0.46648538,0.3146751,12,6,10,1,Morning,Saturday,Weekend
1009,"Taviton Street, Bloomsbury",200133,"South Lambeth Road, Vauxhall",CLASSIC,2023-08-15 19:00:00,3.258096538021482,11.165805,,0.6094276,0.63299227,0.35911006,0.4826597,15,2,19,0,Evening,Tuesday,Weekday
997,"Worship Street, Shoreditch",1080,"Great Tower Street, Monument",CLASSIC,2023-08-02 16:00:00,2.0794415416798357,13.392774,,0.6127945,0.6442294,0.505248,0.5879772,2,3,16,0,Afternoon,Wednesday,Weekday
3441,"Vicarage Gate, Kensington",200214,"Woodstock Grove, Shepherd's Bush",CLASSIC,2023-08-06 18:00:00,2.5649493574615367,14.113652,,0.5151515,0.46258911,0.8975069,0.2983321,6,7,18,1,Evening,Sunday,Weekend
200124,"Clarendon Road, Avondale",2682,"Turquoise Island, Notting Hill",CLASSIC,2023-08-12 16:00:00,1.6094379124341003,30.037897,,0.68686867,0.54331374,0.46648538,0.40049815,12,6,16,1,Afternoon,Saturday,Weekend
300048,"Stainsby Road , Poplar",200064,"Regent's Row , Haggerston",CLASSIC,2023-08-19 13:00:00,3.091042453358316,25.212852,,0.8922558,0.79399157,0.45879346,0.22783732,19,6,13,1,Afternoon,Saturday,Weekend
300058,"The Vale, Chelsea",1203,"Eastbourne Mews, Paddington",CLASSIC,2023-08-14 23:00:00,3.044522437723423,9.504272,,0.34343433,0.44061193,0.50059396,0.9277972,14,1,23,0,Night,Monday,Weekday
1054,"East Road, Hoxton",200071,"Hoxton Street, Hoxton",CLASSIC,2023-08-05 11:00:00,1.0986122886681096,23.000591,,0.3030303,0.2578077,0.09012318,0.7897458,5,6,11,1,Morning,Saturday,Weekend
1218,"Flood Street, Chelsea",300009,"World's End Place, West Chelsea",PBSC_EBIKE,2023-08-10 18:00:00,1.791759469228055,13.627795,,0.8686869,0.8712801,0.3211199,0.35201764,10,4,18,0,Evening,Thursday,Weekday
300010,"Surrey Lane, Battersea",200120,"Grant Road East, Clapham Junction",CLASSIC,2023-08-21 12:00:00,2.0794415416798357,14.904173,,0.8821548,0.80475533,0.501291,0.12286097,21,1,12,0,Afternoon,Monday,Weekday
3496,"St Mary's Hospital, Paddington",3420,"Sedding Street, Sloane Square",CLASSIC,2023-08-31 19:00:00,2.772588722239781,7.9932966,,0.37710428,0.45524547,0.027003706,0.74161804,31,4,19,0,Evening,Thursday,Weekday
200025,"London Fields, Hackney Central",300226,"Copper Box Arena, Queen Elizabeth Olympic Park",PBSC_EBIKE,2023-08-11 20:00:00,2.9444389791664403,14.277983,,0.5454545,0.58576274,0.4163609,0.6986661,11,5,20,0,Evening,Friday,Weekday
10625,"Penfold Street, Marylebone",1033,"Paddington Street, Marylebone",CLASSIC,2023-08-30 13:00:00,2.302585092994046,17.902534,,0.6060605,0.52056265,0.7330858,0.1240983,30,3,13,0,Afternoon,Wednesday,Weekday
200093,"Thurtle Road, Haggerston",1012,"Christopher Street, Liverpool Street",CLASSIC,2023-08-06 14:00:00,2.3978952727983707,16.299694,,0.5151515,0.466238,0.8012294,0.37930238,6,7,14,1,Afternoon,Sunday,Weekend
1043,"Museum of London, Barbican",2587,"Wormwood Street, Liverpool Street",CLASSIC,2023-08-30 09:00:00,1.791759469228055,16.904673,,0.4006734,0.3450164,0.7836582,0.42734456,30,3,9,0,Morning,Wednesday,Weekday
1218,"Flood Street, Chelsea",1201,"Bank of England Museum, Bank",CLASSIC,2023-08-10 12:00:00,3.9512437185814275,16.62249,,0.9393939,0.9171667,0.34527296,0.31755137,10,4,12,0,Afternoon,Thursday,Weekday
200227,"Westfield Library Corner, Shepherd's Bush",300078,"Oxford Road, Putney",CLASSIC,2023-08-19 10:00:00,3.1354942159291497,25.233404,,0.7979797,0.70932484,0.47930008,0.38062084,19,6,10,1,Morning,Saturday,Weekend
200165,"Wellington Row, Bethnal Green",2696,"Waterloo Station 1, Waterloo",CLASSIC,2023-08-31 18:00:00,3.044522437723423,11.592894,,0.4006734,0.43580762,0.10679644,0.6608746,31,4,18,0,Evening,Thursday,Weekday
980,"Malet Street, Bloomsbury",1064,"Old Street Station, St. Luke's",CLASSIC,2023-08-22 17:00:00,2.772588722239781,17.163355,,0.9427608,0.84787107,0.6231118,0.10977256,22,2,17,0,Evening,Tuesday,Weekday
3502,"Palissy Street, Shoreditch",1064,"Old Street Station, St. Luke's",CLASSIC,2023-08-20 16:00:00,1.6094379124341003,19.083395,,0.86531985,0.77371264,0.5073083,0.19429749,20,7,16,1,Afternoon,Sunday,Weekend
969,"Gower Place , Euston",3491,"Princes Square, Bayswater",CLASSIC,2023-08-07 20:00:00,3.4339872044851463,15.542662,,0.36700332,0.3139011,0.60656863,0.39385068,7,1,20,0,Evening,Monday,Weekday
300058,"The Vale, Chelsea",1002,"Holy Trinity Brompton, Knightsbridge",PBSC_EBIKE,2023-08-28 21:00:00,2.3978952727983707,5.991594,,0.2760942,0.34188852,0.81100434,0.64220726,28,1,21,0,Night,Monday,Weekday
2677,"Natural History Museum, South Kensington",200120,"Grant Road East, Clapham Junction",CLASSIC,2023-08-25 14:00:00,3.091042453358316,15.941944,,0.64983165,0.5298139,0.63719136,0.051982403,25,5,14,0,Afternoon,Friday,Weekday
1161,"Brushfield Street, Liverpool Street",1202,"Wellington Street , Strand",CLASSIC,2023-08-01 13:00:00,3.4011973816621555,21.611998,,0.73400676,0.5937073,0.6574624,0.13315672,1,2,13,0,Afternoon,Tuesday,Weekday
1021,"Bouverie Street, Temple",973,"Bethnal Green Road, Shoreditch",CLASSIC,2023-08-01 18:00:00,2.995732273553991,14.982228,,0.64983165,0.6266166,0.50984055,0.4022187,1,2,18,0,Evening,Tuesday,Weekday
3452,"Panton Street, West End",970,"Scala Street, Fitzrovia",CLASSIC,2023-08-02 17:00:00,2.1972245773362196,15.542662,,0.49494946,0.5211779,0.72527856,0.7160356,2,3,17,0,Evening,Wednesday,Weekday
1010,"Cartwright Gardens , Bloomsbury",974,"Guilford Street , Bloomsbury",CLASSIC,2023-08-11 22:00:00,1.3862943611198906,12.287555,,0.44107747,0.5027925,0.40810555,0.7930244,11,5,22,0,Night,Friday,Weekday
300059,"The Blue, Bermondsey",1031,"Nesham Street, Wapping",CLASSIC,2023-08-12 11:00:00,2.4849066497880004,30.85307,,0.73400676,0.56347024,0.48116022,0.30496573,12,6,11,1,Morning,Saturday,Weekend
300212,"Birkenhead Street, King's Cross",3502,"Palissy Street, Shoreditch",CLASSIC,2023-08-25 15:00:00,2.70805020110221,14.145756,,0.6397306,0.54042447,0.60058063,0.076628864,25,5,15,0,Afternoon,Friday,Weekday
