Start station number,Start station,End station number,End station,Bike model,Date,Total_duration_min,weather_code,Weather Description,real_temperature_C,feels_like_temperature_C,wind_speed_10m,humidity_percentage,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,Day_of_Week_Name,is_Weekend_Name
3476,"Hinde Street, Marylebone",3424,"Broadcasting House, Marylebone",CLASSIC,2023-08-21 14:00:00,1.6094379124341003,20.68356,,0.9595959595959596,0.8148737804319219,0.5264200289397477,0.03134322325432859,21,1,14,0,Afternoon,Monday,Weekday
1053,"Clerkenwell Green, Clerkenwell",200246,"Eagle Wharf Road, Hoxton",CLASSIC,2023-08-30 20:00:00,2.302585092994046,5.8048253,,0.29966329966329974,0.3407408999826888,0.6975007923218771,0.48762027607030867,30,3,20,0,Evening,Wednesday,Weekday
200101,"Monument Street, Monument",300250,"Temple Gardens, Temple",CLASSIC,2023-08-12 12:00:00,2.302585092994046,29.810522,,0.6565656565656566,0.5258522409050741,0.45564041213412976,0.43341901400161575,12,6,12,1,Afternoon,Saturday,Weekend
2692,"Waterloo Station 2, Waterloo",1024,"Park Street, Bankside",CLASSIC,2023-08-20 20:00:00,2.1972245773362196,9.686609,,0.5555555555555556,0.6193354506645607,0.45313299205249424,0.6299682639515353,20,7,20,1,Evening,Sunday,Weekend
1110,"Palace Gate, Kensington Gardens",200193,"Snowsfields, London Bridge",CLASSIC,2023-08-06 19:00:00,3.6375861597263857,8.78872,,0.4309764983164983,0.4455731220377069,0.9097158583727804,0.4330019370315935,6,7,19,1,Evening,Sunday,Weekend
300086,"Fulham Broadway, Walham Green",1179,"Chelsea Green, Chelsea",CLASSIC,2023-08-28 16:00:00,2.4849066497880004,13.089354,,0.7037037037037037,0.6238583892366858,0.8055486330957381,0.10729635961540085,28,1,16,0,Afternoon,Monday,Weekday
1123,"Southampton Place, Holborn",300241,"Handyside Street, King's Cross",CLASSIC,2023-08-21 18:00:00,2.9444389791664403,14.512064,,0.7272727272727273,0.7123657951815816,0.47093990271249087,0.3839961481453845,21,1,18,0,Evening,Monday,Weekday
994,"Tanner Street, Bermondsey",1208,"Dickens Square, Borough",CLASSIC,2023-08-02 17:00:00,2.1972245773362196,15.542662,,0.49494949494949503,0.5211778569545507,0.725278571330752,0.7160356101116513,2,3,17,0,Evening,Wednesday,Weekday
22171,"Red Lion Street, Holborn",200115,"Flamborough Street, Limehouse",CLASSIC,2023-08-02 19:00:00,3.295836866004329,15.683776,,0.5252525252525253,0.5528890030402223,0.7069015346114694,0.7074623908948411,2,3,19,0,Evening,Wednesday,Weekday
3464,"Green Street, Mayfair",1178,"Cleveland Gardens, Bayswater",CLASSIC,2023-08-14 14:00:00,2.70805020110221,25.842384,,0.7037037037037037,0.6375795554962169,0.34986988459334945,0.5533514288772722,14,1,14,0,Afternoon,Monday,Weekday
1121,"Lexham Gardens, Kensington",1152,"Marylebone Lane, Marylebone",CLASSIC,2023-08-02 14:00:00,2.995732273553991,19.930477,,0.5016835016835017,0.4874935648443061,0.35600445694628624,0.6925244793977744,2,3,14,0,Afternoon,Wednesday,Weekday
988,"Great Russell Street, Bloomsbury",22179,"Exhibition Road, Knightsbridge",CLASSIC,2023-08-24 13:00:00,2.833213344056216,12.641076,,0.9831649831649834,0.9813824581333013,0.577359046148611,0.192875277107449,24,4,13,0,Afternoon,Thursday,Weekday
200008,"Portman Square, Marylebone",1202,"Wellington Street , Strand",CLASSIC,2023-08-01 13:00:00,3.1354942159291497,21.611998,,0.7340068013468013,0.5937072946096307,0.6574624665902985,0.13315673077392876,1,2,13,0,Afternoon,Tuesday,Weekday
300221,"Battersea Power Station, Battersea Park",1221,"St. George Street, Mayfair",CLASSIC,2023-08-04 15:00:00,3.5263605246161616,15.03835,,0.6094276094276094,0.5698008184952317,0.7148563088654382,0.35488113750525774,4,5,15,0,Afternoon,Friday,Weekday
300234,"Stratford Station, Stratford",200030,"Driffield Road, Old Ford",CLASSIC,2023-08-29 01:00:00,2.639057329615259,6.162207,,0.06060606060606066,0.14400452808669667,0.6956608682429547,0.8639760360631664,29,2,1,0,Night,Tuesday,Weekday
1118,"Hampton Street, Walworth",300209,"Albert Square, Stockwell",CLASSIC,2023-08-24 19:00:00,2.302585092994046,10.703569,,0.7272727272727273,0.8077751955438737,0.35415327571414124,0.6188680468849591,24,4,19,0,Evening,Thursday,Weekday
200166,"Southerton Road, Hammersmith",200136,"BBC White City, White City",CLASSIC,2023-08-30 09:00:00,2.5649493574615367,16.904673,,0.40067340067340074,0.34501638913938065,0.7836582122639063,0.427344614399238,30,3,9,0,Morning,Wednesday,Weekday
1172,"Queen's Gate (South), South Kensington",1172,"Queen's Gate (South), South Kensington",CLASSIC,2023-08-11 00:00:00,3.6375861597263857,12.904882,,0.4814815488215489,0.5499303023137143,0.4006328204252271,0.8191917590210106,11,5,0,0,Night,Friday,Weekday
22174,"Granby Street, Shoreditch",200239,"Old Montague Street, Whitechapel",CLASSIC,2023-08-07 07:00:00,1.9459101490553132,12.015589,,0.22895622895622902,0.2602246279489984,0.6277398149244237,0.7523583504006203,7,1,7,0,Morning,Monday,Weekday
